   t		   e1rho1	   e1rho2   	   e2rho1	   e2rho2	   e3rho1   	   e3rho2  	   e4rho1          e4rho2          e5rho1          e5rho2	   e6rho1	   e6rho2	   e7rho1	   e7rho2	   e8rho1	   e8rho2
   2.1000000e+01   8.5145190e-02   8.8293170e-03   0.0000000e+00   1.4839887e-02   8.1958959e-02   6.5407049e-03   1.4751110e-02   0.0000000e+00   0.0000000e+00   8.9753701e-02   0.0000000e+00   7.7364884e-02   0.0000000e+00   7.7278127e-04   1.6125776e-02   0.0000000e+00
   2.2000000e+01   8.8672618e-02   9.7038599e-03   0.0000000e+00   1.6202782e-02   8.5237454e-02   7.0893001e-03   1.6083591e-02   0.0000000e+00   0.0000000e+00   9.3661152e-02   0.0000000e+00   8.0267051e-02   0.0000000e+00   8.8252426e-04   1.7667443e-02   0.0000000e+00
   2.3000000e+01   9.2138753e-02   1.0613326e-02   0.0000000e+00   1.7608777e-02   8.8453889e-02   7.6477350e-03   1.7453503e-02   0.0000000e+00   0.0000000e+00   9.7514762e-02   0.0000000e+00   8.3100306e-02   0.0000000e+00   1.0003191e-03   1.9264715e-02   0.0000000e+00
   2.4000000e+01   9.5544563e-02   1.1556816e-02   0.0000000e+00   1.9056233e-02   9.1610086e-02   8.2149061e-03   1.8858723e-02   0.0000000e+00   0.0000000e+00   1.0131500e-01   0.0000000e+00   8.5867016e-02   0.0000000e+00   1.1261577e-03   2.0915881e-02   0.0000000e+00
   2.5000000e+01   9.8890998e-02   1.2533431e-02   0.0000000e+00   2.0543580e-02   9.4707811e-02   8.7897709e-03   2.0297202e-02   0.0000000e+00   0.0000000e+00   1.0506238e-01   0.0000000e+00   8.8569440e-02   0.0000000e+00   1.2600110e-03   2.2619268e-02   0.0000000e+00
   2.6000000e+01   1.0217899e-01   1.3542278e-02   0.0000000e+00   2.2069317e-02   9.7748775e-02   9.3713453e-03   2.1766962e-02   0.0000000e+00   0.0000000e+00   1.0875742e-01   0.0000000e+00   9.1209743e-02   0.0000000e+00   1.4018308e-03   2.4373245e-02   0.0000000e+00
   2.7000000e+01   1.0540945e-01   1.4582463e-02   0.0000000e+00   2.3632003e-02   1.0073464e-01   9.9587013e-03   2.3266096e-02   0.0000000e+00   0.0000000e+00   1.1240067e-01   0.0000000e+00   9.3789995e-02   0.0000000e+00   1.5515512e-03   2.6176216e-02   0.0000000e+00
   2.8000000e+01   1.0858328e-01   1.5653102e-02   0.0000000e+00   2.5230255e-02   1.0366700e-01   1.0550964e-02   2.4792762e-02   0.0000000e+00   0.0000000e+00   1.1599270e-01   0.0000000e+00   9.6312179e-02   0.0000000e+00   1.7090904e-03   2.8026624e-02   0.0000000e+00
   2.9000000e+01   1.1170136e-01   1.6753312e-02   0.0000000e+00   2.6862750e-02   1.0654743e-01   1.1147308e-02   2.6345186e-02   0.0000000e+00   0.0000000e+00   1.1953408e-01   0.0000000e+00   9.8778193e-02   0.0000000e+00   1.8743519e-03   2.9922948e-02   0.0000000e+00
   3.0000000e+01   1.1476455e-01   1.7882221e-02   0.0000000e+00   2.8528212e-02   1.0937742e-01   1.1746960e-02   2.7921656e-02   0.0000000e+00   0.0000000e+00   1.2302541e-01   0.0000000e+00   1.0118986e-01   0.0000000e+00   2.0472263e-03   3.1863704e-02   0.0000000e+00
   3.1000000e+01   1.1777370e-01   1.9038962e-02   0.0000000e+00   3.0225420e-02   1.1215843e-01   1.2349187e-02   2.9520520e-02   0.0000000e+00   0.0000000e+00   1.2646731e-01   0.0000000e+00   1.0354892e-01   0.0000000e+00   2.2275919e-03   3.3847441e-02   0.0000000e+00
   3.2000000e+01   1.2072966e-01   2.0222677e-02   0.0000000e+00   3.1953198e-02   1.1489189e-01   1.2953306e-02   3.1140187e-02   0.0000000e+00   0.0000000e+00   1.2986038e-01   0.0000000e+00   1.0585704e-01   0.0000000e+00   2.4153165e-03   3.5872744e-02   0.0000000e+00
   3.3000000e+01   1.2363324e-01   2.1432519e-02   0.0000000e+00   3.3710414e-02   1.1757914e-01   1.3558671e-02   3.2779124e-02   0.0000000e+00   0.0000000e+00   1.3320526e-01   0.0000000e+00   1.0811584e-01   0.0000000e+00   2.6102581e-03   3.7938230e-02   0.0000000e+00
   3.4000000e+01   1.2648525e-01   2.2667648e-02   0.0000000e+00   3.5495980e-02   1.2022153e-01   1.4164679e-02   3.4435852e-02   0.0000000e+00   0.0000000e+00   1.3650258e-01   0.0000000e+00   1.1032684e-01   0.0000000e+00   2.8122663e-03   4.0042549e-02   0.0000000e+00
