   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.5000000e+00   5.0000000e-01   5.0000000e-01   1.0000000e+00
   2.0000000e+00   5.0000000e-03   5.0000000e-03   1.0000000e-02   1.0000000e-02   1.4952500e+00   4.9336175e-01   4.9509191e-01   1.0066737e+00
   3.0000000e+00   9.9903824e-03   9.3308778e-03   1.9231116e-02   1.9411404e-02   1.4904815e+00   4.8681140e-01   4.9021022e-01   1.0132588e+00
   4.0000000e+00   1.4957306e-02   1.3106652e-02   2.7749911e-02   2.8337304e-02   1.4856946e+00   4.8034780e-01   4.8535495e-01   1.0197564e+00
   5.0000000e+00   1.9890681e-02   1.6416043e-02   3.5609868e-02   3.6854035e-02   1.4808893e+00   4.7396980e-01   4.8052610e-01   1.0261677e+00
   6.0000000e+00   2.4783147e-02   1.9329352e-02   4.2861131e-02   4.5019166e-02   1.4760659e+00   4.6767628e-01   4.7572369e-01   1.0324938e+00
   7.0000000e+00   2.9629334e-02   2.1903160e-02   4.9550417e-02   5.2876856e-02   1.4712243e+00   4.6146612e-01   4.7094773e-01   1.0387359e+00
   8.0000000e+00   3.4425340e-02   2.4183622e-02   5.5721051e-02   6.0461524e-02   1.4663647e+00   4.5533823e-01   4.6619825e-01   1.0448951e+00
   9.0000000e+00   3.9168340e-02   2.6208840e-02   6.1413070e-02   6.7800417e-02   1.4614873e+00   4.4929152e-01   4.6147525e-01   1.0509725e+00
   1.0000000e+01   4.3856311e-02   2.8010590e-02   6.6663382e-02   7.4915437e-02   1.4565921e+00   4.4332492e-01   4.5677874e-01   1.0569692e+00
   1.1000000e+01   4.8487828e-02   2.9615626e-02   7.1505944e-02   8.1824456e-02   1.4516793e+00   4.3743738e-01   4.5210875e-01   1.0628862e+00
   1.2000000e+01   5.3061913e-02   3.1046660e-02   7.5971967e-02   8.8542276e-02   1.4467490e+00   4.3162785e-01   4.4746529e-01   1.0687246e+00
   1.3000000e+01   5.7577925e-02   3.2323118e-02   8.0090111e-02   9.5081336e-02   1.4418013e+00   4.2589531e-01   4.4284836e-01   1.0744855e+00
   1.4000000e+01   6.2035479e-02   3.3461727e-02   8.3886686e-02   1.0145223e-01   1.4368363e+00   4.2023873e-01   4.3825799e-01   1.0801698e+00
   1.5000000e+01   6.6434382e-02   3.4476980e-02   8.7385841e-02   1.0766413e-01   1.4318542e+00   4.1465712e-01   4.3369419e-01   1.0857786e+00
   1.6000000e+01   7.0774595e-02   3.5381505e-02   9.0609749e-02   1.1372502e-01   1.4268551e+00   4.0914949e-01   4.2915697e-01   1.0913129e+00
   1.7000000e+01   7.5056193e-02   3.6186361e-02   9.3578771e-02   1.1964200e-01   1.4218392e+00   4.0371486e-01   4.2464635e-01   1.0967736e+00
   1.8000000e+01   7.9279341e-02   3.6901280e-02   9.6311614e-02   1.2542141e-01   1.4168066e+00   3.9835227e-01   4.2016234e-01   1.1021618e+00
   1.9000000e+01   8.3444277e-02   3.7534859e-02   9.8825480e-02   1.3106896e-01   1.4117575e+00   3.9306077e-01   4.1570495e-01   1.1074784e+00
   2.0000000e+01   8.7551297e-02   3.8094727e-02   1.0113619e-01   1.3658987e-01   1.4066919e+00   3.8783942e-01   4.1127420e-01   1.1127244e+00
   2.1000000e+01   9.1600740e-02   3.8587676e-02   1.0325833e-01   1.4198892e-01   1.4016101e+00   3.8268729e-01   4.0687011e-01   1.1179006e+00
   2.2000000e+01   9.5592988e-02   3.9019773e-02   1.0520530e-01   1.4727054e-01   1.3965122e+00   3.7760348e-01   4.0249269e-01   1.1230080e+00
   2.3000000e+01   9.9528449e-02   3.9396455e-02   1.0698951e-01   1.5243883e-01   1.3913984e+00   3.7258707e-01   3.9814194e-01   1.1280476e+00
   2.4000000e+01   1.0340756e-01   3.9722609e-02   1.0862237e-01   1.5749764e-01   1.3862689e+00   3.6763718e-01   3.9381790e-01   1.1330202e+00
   2.5000000e+01   1.0723078e-01   4.0002638e-02   1.1011445e-01   1.6245057e-01   1.3811237e+00   3.6275293e-01   3.8952057e-01   1.1379266e+00
